Block,Match_ID,Site,Year,Month,Date,Obs1.Time,Obs2.Time,Group.size,Cluster_size,Obs1,Obs2,Choidogjamts,Lat.1,Long.1,Obs1.AnglePath,Obs1.AngleDetection,Obs1.Distance,Latnear,Lonnear,Neardistance,Obs1.Class1,Obs1.Class2,Obs1.Class3,Obs1.Class4,Obs1.AF,Obs1.Young,Obs1.Kid,Obs1.Unclassified,Obs2.Total,Obs2.Name,Lat.2,Long.2,Species,Sightings,Obs2.Class1,Obs2.Class2,Obs2.Class3,Obs2.Class4,Obs2.AF,Obs2.Young,Obs2.Kid,Obs2.Unclassified,total,Transect_Length
3,ZS18,ZS18,2022,10,28,1222,,1,1,1,0,Narangarav,43.52856,103.9576,270,220,400,43.52877,103.95321,20,1,,,,,,,,1,,,,argali,argali,,,,,,,,,0,11.24802602
3,ZS18,ZS18,2022,10,28,1230,1230,3,3,1,1,Narangarav,43.52856,103.9576,270,341,150,43.52883,103.95631,100,,,,,2,,1,,3,Enkhsaikhan,43.52854,103.95763,argali,argali,,,,,2,,1,,3,11.24802602
3,ZS20,ZS20,2022,10,28,1324,,3,3,1,0,Battsog,43.49879,104.07204,30,300,540,43.49879,104.07204,540,,1,1,,1,,,,3,,,,ibex,ibex,,,,,,,,,0,6.866124148
3,ZS20,ZS20,2022,10,28,1514,,13,13,1,0,Battsog,43.51574,104.08287,360,360,320,43.51745,104.08554,20,,2,,,,7,4,,13,,,,ibex,ibex,,,,,,,,,0,6.866124148
4,Day1_1,Day1_1,2022,10,31,,1503,2,,0,1,,,,,,,,,,,,,,,,,,0,Munkhjargal_bu,43.65123,102.31093,,ibex,,,,,1,,1,,2,7.134101669
4,Day1_2,Day1_2,2022,10,31,1405,,3,3,1,0,Munkhtulga,43.6767,102.35434,70,110,529,43.6767,102.35434,529,,1,2,,,,,,3,,,,ibex,ibex,,,,,,,,,0,8.335067315
4,Day1_2,Day1_2,2022,10,31,1400,,2,2,1,0,Munkhtulga,43.6767,102.35434,70,160,224,43.6767,102.35434,224,,,,,1,,1,,2,,,,ibex,ibex,,,,,,,,,0,8.335067315
4,Day1_3,Day1_3,2022,10,31,1144,,5,5,1,1,Enkhburen,43.63771,102.36549,10,100,500,43.63771,102.36549,500,,,,,3,1,1,,5,Unurbat,43.64112,102.36646,argali,argali,,,,,3,1,1,,5,12.27253529
4,Day1_3,Day1_3,2022,10,31,1206,,2,2,1,0,Enkhburen,43.64112,102.36652,10,80,400,43.64383,102.37054,300,,,,,,,,2,2,,,,argali,argali,,,,,,,,,0,12.27253529
4,Day1_3,Day1_3,2022,10,31,1332,,4,4,1,0,Enkhburen,43.65076,102.3826,60,190,40,43.65076,102.3826,40,,,,,2,,2,,4,,,,argali,argali,,,,,,,,,0,12.27253529
4,Day1_3,Day1_3,2022,10,31,1341,,6,6,1,0,Enkhburen,43.65218,102.38554,60,60,200,43.65217,102.38756,0,,1,,,4,,1,,6,,,,argali,argali,,,,,,,,,0,12.27253529
4,Day1_3,Day1_3,2022,10,31,1401,,13,13,1,0,Enkhburen,43.65218,102.38857,70,140,400,43.64985,102.39401,200,,4,3,4,2,,,,13,,,,ibex,ibex,,,,,,,,,0,12.27253529
